rank,model,org,reasoning,avg_score,green_rate,red_rate,score_2,score_1,score_0,nonsense_count,error_count,model_base,launch_date,model_age_days,launch_evidence_url,open_model_status,total_params_b,active_params_b,active_params_status,model_license
13,qwen/qwen3.5-397b-a17b@reasoning=high,qwen,high,1.3455,0.5273,0.1636,29,17,9,55,0,qwen/qwen3.5-397b-a17b,2026-02-17,28,https://www.alibabacloud.com/blog/602894,open_source,397,17,reported,apache-2.0
14,anthropic/claude-3.7-sonnet:thinking@reasoning=default,anthropic,default,1.3428,0.5472,0.1698,29,15,9,53,3,anthropic/claude-3.7-sonnet:thinking,2025-02-24,386,https://www.anthropic.com/news/claude-3-7-sonnet,,,,,
15,anthropic/claude-sonnet-4.5@reasoning=none,anthropic,none,1.3273,0.5273,0.1818,29,16,10,55,0,anthropic/claude-sonnet-4.5,2025-09-29,169,https://www.anthropic.com/news/claude-sonnet-4-5,,,,,
16,anthropic/claude-3.5-haiku@reasoning=default,anthropic,default,1.297,0.5818,0.2727,32,8,15,55,0,anthropic/claude-3.5-haiku,2024-10-22,511,https://www.anthropic.com/news/3-5-models-and-computer-use,,,,,
17,x-ai/grok-4.20-beta@reasoning=low,x-ai,low,1.2909,0.6182,0.3091,34,4,17,55,0,x-ai/grok-4.20-beta,2026-03-10,7,https://docs.x.ai/docs/changelog,closed,,,not_disclosed,proprietary
18,x-ai/grok-4.20-beta@reasoning=xhigh,x-ai,xhigh,1.2364,0.5818,0.3091,32,6,17,55,0,x-ai/grok-4.20-beta,2026-03-10,7,https://docs.x.ai/docs/changelog,closed,,,not_disclosed,proprietary
19,meta-llama/llama-4-maverick@reasoning=default,meta,default,1.2364,0.5455,0.2727,30,10,15,55,0,meta-llama/llama-4-maverick,2025-04-05,346,https://about.fb.com/ltam/news/2025/04/la-coleccion-de-modelos-llama-4-el-inicio-de-una-nueva-era-de-innovacion-multimodal-nativa-para-inteligencia-artificial/,open_weights,400,17,reported,llama4
20,anthropic/claude-3.7-sonnet@reasoning=default,anthropic,default,1.197,0.5091,0.2727,28,12,15,55,3,anthropic/claude-3.7-sonnet,2025-02-24,386,https://www.anthropic.com/news/claude-3-7-sonnet,,,,,
21,moonshotai/kimi-k2.5@reasoning=none,moonshotai,none,1.1818,0.4727,0.2364,26,16,13,55,0,moonshotai/kimi-k2.5,2026-01-27,49,https://www.kimi.com/ai-models/kimi-k2-5,open_source,1000,32,reported,modified-mit
22,anthropic/claude-3.5-sonnet@reasoning=default,anthropic,default,1.1515,0.5273,0.3455,29,7,19,55,0,anthropic/claude-3.5-sonnet,2024-06-21,634,https://www.anthropic.com/news/claude-3-5-sonnet,,,,,
23,anthropic/claude-opus-4.1@reasoning=none,anthropic,none,1.0182,0.4,0.3818,22,12,21,55,0,anthropic/claude-opus-4.1,2025-08-05,224,https://www.anthropic.com/news/claude-opus-4-1,,,,,
24,openai/gpt-5.1-chat@reasoning=default,openai,default,1.0121,0.3636,0.3636,20,15,20,55,0,openai/gpt-5.1-chat,2025-11-13,124,https://developers.openai.com/api/docs/changelog,,,,,
25,openai/gpt-5.2-codex@reasoning=low,openai,low,0.9394,0.3636,0.3636,20,15,20,55,0,openai/gpt-5.2-codex,2025-12-18,89,https://openai.com/index/introducing-gpt-5-2-codex/,,,,,
26,openai/gpt-5.4@reasoning=none,openai,none,0.9394,0.2545,0.2727,14,26,15,55,0,openai/gpt-5.4,,,,,,,,
27,meta-llama/llama-4-scout@reasoning=default,meta,default,0.8849,0.3636,0.4364,20,11,24,55,0,meta-llama/llama-4-scout,2025-04-05,346,https://about.fb.com/ltam/news/2025/04/la-coleccion-de-modelos-llama-4-el-inicio-de-una-nueva-era-de-innovacion-multimodal-nativa-para-inteligencia-artificial/,open_weights,109,17,reported,llama4
28,meta-llama/llama-3.1-8b-instruct@reasoning=default,meta,default,0.8849,0.3455,0.4364,19,12,24,55,0,meta-llama/llama-3.1-8b-instruct,2024-07-23,602,https://about.fb.com/news/2024/07/open-source-ai-is-the-path-forward/,open_weights,8,8,dense_equals_total,llama3.1
29,openai/gpt-5.2@reasoning=none,openai,none,0.8727,0.2727,0.3091,15,23,17,55,0,openai/gpt-5.2,2025-12-11,96,https://developers.openai.com/api/docs/changelog,,,,,
30,openai/gpt-5.4-mini@reasoning=xhigh,openai,xhigh,0.8727,0.2545,0.3636,14,21,20,55,0,openai/gpt-5.4-mini,2026-03-17,0,https://developers.openai.com/api/docs/models/gpt-5.4-mini,closed,,,not_disclosed,proprietary
31,openai/gpt-5.3-chat@reasoning=default,openai,default,0.8667,0.2727,0.4182,15,17,23,55,0,openai/gpt-5.3-chat,2026-03-04,13,https://openrouter.ai/openai/gpt-5.3-chat,,,,,
32,openai/gpt-5-codex@reasoning=default,openai,default,0.8606,0.3091,0.4545,17,13,25,55,0,openai/gpt-5-codex,2025-09-15,183,https://openai.com/index/introducing-upgrades-to-codex/,,,,,
33,openai/gpt-5.4-mini@reasoning=high,openai,high,0.8606,0.2545,0.3818,14,20,21,55,0,openai/gpt-5.4-mini,2026-03-17,0,https://developers.openai.com/api/docs/models/gpt-5.4-mini,closed,,,not_disclosed,proprietary
34,openai/gpt-5.4@reasoning=xhigh,openai,xhigh,0.8606,0.2182,0.3818,12,22,21,55,0,openai/gpt-5.4,,,,,,,,
35,openrouter/hunter-alpha@reasoning=none,stealth,none,0.8545,0.3273,0.4727,18,11,26,55,0,openrouter/hunter-alpha,,,,,,,,
36,moonshotai/kimi-k2.5@reasoning=high,moonshotai,high,0.8545,0.3091,0.4364,17,14,24,55,0,moonshotai/kimi-k2.5,2026-01-27,49,https://www.kimi.com/ai-models/kimi-k2-5,open_source,1000,32,reported,modified-mit
37,anthropic/claude-opus-4.1@reasoning=high,anthropic,high,0.8485,0.3455,0.5273,19,7,29,55,0,anthropic/claude-opus-4.1,2025-08-05,224,https://www.anthropic.com/news/claude-opus-4-1,,,,,
38,anthropic/claude-sonnet-4@reasoning=none,anthropic,none,0.8424,0.2545,0.4545,14,16,25,55,0,anthropic/claude-sonnet-4,2025-05-22,299,https://www.anthropic.com/news/claude-4,,,,,
39,anthropic/claude-opus-4@reasoning=default,anthropic,default,0.8242,0.3273,0.4727,18,11,26,55,0,anthropic/claude-opus-4,2025-05-22,299,https://www.anthropic.com/news/claude-4,,,,,
40,openai/gpt-5.4-mini@reasoning=none,openai,none,0.8061,0.2364,0.4182,13,19,23,55,0,openai/gpt-5.4-mini,2026-03-17,0,https://developers.openai.com/api/docs/models/gpt-5.4-mini,closed,,,not_disclosed,proprietary
41,openai/gpt-5.2-codex@reasoning=high,openai,high,0.7636,0.2909,0.5091,16,11,28,55,0,openai/gpt-5.2-codex,2025-12-18,89,https://openai.com/index/introducing-gpt-5-2-codex/,,,,,
42,openai/gpt-5.1@reasoning=default,openai,default,0.7455,0.2545,0.5091,14,13,28,55,0,openai/gpt-5.1,2025-11-13,124,https://developers.openai.com/api/docs/changelog,,,,,
43,openrouter/hunter-alpha@reasoning=xhigh,stealth,xhigh,0.7394,0.2727,0.5636,15,9,31,55,0,openrouter/hunter-alpha,,,,,,,,
44,anthropic/claude-sonnet-4@reasoning=high,anthropic,high,0.7394,0.2364,0.5091,13,14,28,55,0,anthropic/claude-sonnet-4,2025-05-22,299,https://www.anthropic.com/news/claude-4,,,,,
45,google/gemini-3-pro-preview@reasoning=low,google,low,0.7333,0.3091,0.5636,17,7,31,55,0,google/gemini-3-pro-preview,2025-11-18,119,https://ai.google.dev/gemini-api/docs/changelog,,,,,
46,openai/gpt-5.1-codex@reasoning=default,openai,default,0.7333,0.2909,0.5636,16,8,31,55,0,openai/gpt-5.1-codex,2025-11-13,124,https://developers.openai.com/api/docs/changelog,,,,,
47,openai/gpt-5.2-codex@reasoning=xhigh,openai,xhigh,0.7212,0.2545,0.4909,14,14,27,55,0,openai/gpt-5.2-codex,2025-12-18,89,https://openai.com/index/introducing-gpt-5-2-codex/,,,,,
48,openai/gpt-5.2@reasoning=high,openai,high,0.703,0.2364,0.5091,13,14,28,55,0,openai/gpt-5.2,2025-12-11,96,https://developers.openai.com/api/docs/changelog,,,,,
49,openrouter/healer-alpha@reasoning=none,stealth,none,0.697,0.2909,0.5818,16,7,32,55,0,openrouter/healer-alpha,,,,,,,,
50,openai/gpt-5.4-nano@reasoning=none,openai,none,0.6849,0.1636,0.4545,9,21,25,55,0,openai/gpt-5.4-nano,2026-03-17,0,https://developers.openai.com/api/docs/models/gpt-5.4-nano,closed,,,not_disclosed,proprietary
51,openai/gpt-5@reasoning=default,openai,default,0.6667,0.2182,0.5455,12,13,30,55,0,openai/gpt-5,2025-08-07,222,https://developers.openai.com/api/docs/changelog,,,,,
52,openai/o3@reasoning=low,openai,low,0.6606,0.2364,0.5636,13,11,31,55,0,openai/o3,2025-04-16,335,https://developers.openai.com/api/docs/changelog,,,,,
53,anthropic/claude-3-haiku@reasoning=default,anthropic,default,0.6273,0.1818,0.5455,10,15,30,55,1,anthropic/claude-3-haiku,2024-03-13,734,https://www.anthropic.com/news/claude-3-haiku,,,,,
54,openai/gpt-5.4-nano@reasoning=high,openai,high,0.6182,0.1091,0.5091,6,21,28,55,0,openai/gpt-5.4-nano,2026-03-17,0,https://developers.openai.com/api/docs/models/gpt-5.4-nano,closed,,,not_disclosed,proprietary
55,google/gemini-3.1-pro-preview@reasoning=low,google,low,0.5879,0.2182,0.6182,12,9,34,55,0,google/gemini-3.1-pro-preview,2026-02-19,26,https://ai.google.dev/gemini-api/docs/changelog,,,,,
56,xiaomi/mimo-v2-flash@reasoning=none,xiaomi,none,0.5879,0.1636,0.5636,9,15,31,55,0,xiaomi/mimo-v2-flash,2025-12-16,91,https://mimo.xiaomi.com/blog/mimo-v2-flash,open_source,309,15,reported,mit
57,openai/gpt-5.4-nano@reasoning=xhigh,openai,xhigh,0.5818,0.1455,0.5636,8,16,31,55,0,openai/gpt-5.4-nano,2026-03-17,0,https://developers.openai.com/api/docs/models/gpt-5.4-nano,closed,,,not_disclosed,proprietary
58,google/gemini-3-pro-preview@reasoning=high,google,high,0.5758,0.2364,0.6182,13,8,34,55,0,google/gemini-3-pro-preview,2025-11-18,119,https://ai.google.dev/gemini-api/docs/changelog,,,,,
59,z-ai/glm-5@reasoning=high,z-ai,high,0.5455,0.2,0.6545,11,8,36,55,0,z-ai/glm-5,2026-02-12,33,https://docs.z.ai/release-notes/new-released,open_source,744,40,reported,mit
60,google/gemini-2.5-pro@reasoning=default,google,default,0.5394,0.2364,0.6727,13,5,37,55,0,google/gemini-2.5-pro,2025-06-17,273,https://ai.google.dev/gemini-api/docs/changelog,,,,,
61,google/gemini-3.1-pro-preview@reasoning=high,google,high,0.5333,0.1818,0.6545,10,9,36,55,0,google/gemini-3.1-pro-preview,2026-02-19,26,https://ai.google.dev/gemini-api/docs/changelog,,,,,
62,openai/gpt-4o-2024-08-06@reasoning=default,openai,default,0.5333,0.1636,0.5818,9,14,32,55,0,openai/gpt-4o-2024-08-06,2024-08-06,588,https://developers.openai.com/api/docs/changelog,,,,,
63,openai/gpt-4o@reasoning=default,openai,default,0.5333,0.1455,0.5636,8,16,31,55,0,openai/gpt-4o,2024-05-13,673,https://developers.openai.com/api/docs/changelog,,,,,
64,openai/gpt-5-chat@reasoning=default,openai,default,0.5273,0.1455,0.6,8,14,33,55,0,openai/gpt-5-chat,2025-08-07,222,https://openai.com/index/introducing-gpt-5-for-developers/,,,,,
65,x-ai/grok-4.1-fast@reasoning=high,x-ai,high,0.5273,0.1455,0.6,8,14,33,55,0,x-ai/grok-4.1-fast,2025-11-19,118,https://x.ai/news/grok-4-1-fast,,,,,
66,openrouter/healer-alpha@reasoning=xhigh,stealth,xhigh,0.5212,0.1818,0.6545,10,9,36,55,0,openrouter/healer-alpha,,,,,,,,
67,baidu/ernie-4.5-300b-a47b@reasoning=default,baidu,default,0.5212,0.1273,0.6,7,15,33,55,0,baidu/ernie-4.5-300b-a47b,2025-06-30,260,https://ernie.baidu.com/blog/posts/ernie4.5/,open_source,300,47,reported,apache-2.0
68,openai/gpt-5.2-chat@reasoning=default,openai,default,0.503,0.1455,0.6182,8,13,34,55,0,openai/gpt-5.2-chat,2025-12-10,97,https://openai.com/index/introducing-gpt-5-2/,,,,,
69,minimax/minimax-m2.5@reasoning=low,minimax,low,0.497,0.1273,0.6545,7,12,36,55,0,minimax/minimax-m2.5,2026-02-12,33,https://www.minimaxi.com/news/minimax-m25,open_weights,229,,not_disclosed,modified-mit
70,openai/gpt-5.3-codex@reasoning=high,openai,high,0.4788,0.1273,0.6182,7,14,34,55,0,openai/gpt-5.3-codex,2026-02-05,40,https://openai.com/index/introducing-gpt-5-3-codex/,,,,,
71,openai/gpt-5.3-codex@reasoning=low,openai,low,0.4727,0.1455,0.6364,8,12,35,55,0,openai/gpt-5.3-codex,2026-02-05,40,https://openai.com/index/introducing-gpt-5-3-codex/,,,,,
72,google/gemini-2.0-flash-001@reasoning=default,google,default,0.4667,0.1273,0.7091,7,9,39,55,0,google/gemini-2.0-flash-001,2025-02-05,405,https://ai.google.dev/gemini-api/docs/changelog,,,,,
73,google/gemini-2.5-flash@reasoning=default,google,default,0.4636,0.1455,0.6909,8,9,38,55,1,google/gemini-2.5-flash,2025-06-17,273,https://ai.google.dev/gemini-api/docs/changelog,,,,,
74,deepseek/deepseek-v3.2@reasoning=none,deepseek,none,0.4606,0.1273,0.6727,7,11,37,55,0,deepseek/deepseek-v3.2,2025-12-01,106,https://api-docs.deepseek.com/news/news251201,open_source,685,37,derived_from_first_party,mit
75,minimax/minimax-m2.5@reasoning=high,minimax,high,0.4545,0.1636,0.6909,9,8,38,55,0,minimax/minimax-m2.5,2026-02-12,33,https://www.minimaxi.com/news/minimax-m25,open_weights,229,,not_disclosed,modified-mit
76,openai/gpt-4.1@reasoning=default,openai,default,0.4545,0.1455,0.6727,8,10,37,55,0,openai/gpt-4.1,2025-04-14,337,https://developers.openai.com/api/docs/changelog,,,,,
77,z-ai/glm-5@reasoning=none,z-ai,none,0.4424,0.1636,0.6909,9,8,38,55,0,z-ai/glm-5,2026-02-12,33,https://docs.z.ai/release-notes/new-released,open_source,744,40,reported,mit
78,openai/gpt-5.3-codex@reasoning=xhigh,openai,xhigh,0.4424,0.1091,0.6727,6,12,37,55,0,openai/gpt-5.3-codex,2026-02-05,40,https://openai.com/index/introducing-gpt-5-3-codex/,,,,,
79,prime-intellect/intellect-3@reasoning=high,prime-intellect,high,0.4364,0.1091,0.6727,6,12,37,55,0,prime-intellect/intellect-3,2025-11-26,111,https://www.primeintellect.ai/blog/launching-intellect-3,open_source,106,12,reported,mit+apache-2.0
80,prime-intellect/intellect-3@reasoning=low,prime-intellect,low,0.4,0.1273,0.7273,7,8,40,55,0,prime-intellect/intellect-3,2025-11-26,111,https://www.primeintellect.ai/blog/launching-intellect-3,open_source,106,12,reported,mit+apache-2.0
81,openai/o4-mini@reasoning=low,openai,low,0.4,0.0909,0.6727,5,13,37,55,0,openai/o4-mini,2025-04-16,335,https://developers.openai.com/api/docs/changelog,,,,,
82,deepseek/deepseek-v3.2@reasoning=high,deepseek,high,0.3758,0.1455,0.7455,8,6,41,55,0,deepseek/deepseek-v3.2,2025-12-01,106,https://api-docs.deepseek.com/news/news251201,open_source,685,37,derived_from_first_party,mit
83,xiaomi/mimo-v2-flash@reasoning=high,xiaomi,high,0.3636,0.0909,0.7273,5,10,40,55,0,xiaomi/mimo-v2-flash,2025-12-16,91,https://mimo.xiaomi.com/blog/mimo-v2-flash,open_source,309,15,reported,mit
84,bytedance-seed/seed-1.6@reasoning=none,bytedance-seed,none,0.3515,0.1091,0.7273,6,9,40,55,0,bytedance-seed/seed-1.6,2025-06-25,265,https://seed.bytedance.com/zh/blog/seed1-6-%E7%B3%BB%E5%88%97%E6%A8%A1%E5%9E%8B%E6%8A%80%E6%9C%AF%E4%BB%8B%E7%BB%8D,,,,,
85,google/gemini-3-flash-preview@reasoning=high,google,high,0.3455,0.1091,0.7273,6,9,40,55,0,google/gemini-3-flash-preview,2025-12-17,90,https://ai.google.dev/gemini-api/docs/changelog,,,,,
86,openai/o4-mini@reasoning=high,openai,high,0.3455,0.1091,0.7273,6,9,40,55,0,openai/o4-mini,2025-04-16,335,https://developers.openai.com/api/docs/changelog,,,,,
87,x-ai/grok-4.1-fast@reasoning=none,x-ai,none,0.3455,0.1091,0.7636,6,7,42,55,0,x-ai/grok-4.1-fast,2025-11-19,118,https://x.ai/news/grok-4-1-fast,,,,,
88,bytedance-seed/seed-1.6@reasoning=high,bytedance-seed,high,0.3333,0.0727,0.7273,4,11,40,55,0,bytedance-seed/seed-1.6,2025-06-25,265,https://seed.bytedance.com/zh/blog/seed1-6-%E7%B3%BB%E5%88%97%E6%A8%A1%E5%9E%8B%E6%8A%80%E6%9C%AF%E4%BB%8B%E7%BB%8D,,,,,
89,openai/gpt-oss-120b@reasoning=low,openai,low,0.3333,0.0364,0.6545,2,17,36,55,0,openai/gpt-oss-120b,2025-08-05,224,https://openai.com/index/introducing-gpt-oss/,open_weights,117,5.1,reported,apache-2.0
90,openai/gpt-4o-mini-2024-07-18@reasoning=default,openai,default,0.3212,0.0727,0.7091,4,12,39,55,0,openai/gpt-4o-mini-2024-07-18,2024-07-18,607,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,,,,,
91,google/gemini-3.1-flash-lite-preview@reasoning=default,google,default,0.2849,0.0909,0.7818,5,7,43,55,0,google/gemini-3.1-flash-lite-preview,2026-03-04,13,https://openrouter.ai/google/gemini-3.1-flash-lite-preview,,,,,
92,google/gemini-3-flash-preview@reasoning=none,google,none,0.2849,0.0727,0.7636,4,9,42,55,0,google/gemini-3-flash-preview,2025-12-17,90,https://ai.google.dev/gemini-api/docs/changelog,,,,,
93,openai/gpt-4o-mini@reasoning=default,openai,default,0.2849,0.0545,0.7455,3,11,41,55,0,openai/gpt-4o-mini,2024-07-18,607,https://developers.openai.com/api/docs/changelog,,,,,
94,google/gemma-3-27b-it@reasoning=default,google,default,0.2424,0.0364,0.8182,2,8,45,55,0,google/gemma-3-27b-it,2025-03-12,370,https://ai.google.dev/gemini-api/docs/changelog,open_weights,27,,not_disclosed,gemma
95,openai/gpt-oss-120b@reasoning=high,openai,high,0.2303,0.0364,0.7818,2,10,43,55,0,openai/gpt-oss-120b,2025-08-05,224,https://openai.com/index/introducing-gpt-oss/,open_weights,117,5.1,reported,apache-2.0
96,mistralai/mistral-large-2512@reasoning=default,mistralai,default,0.2,0.0364,0.8182,2,8,45,55,0,mistralai/mistral-large-2512,2025-12-02,105,https://docs.mistral.ai/getting-started/changelog/,,,,,
